id,text,category,mood,weight,source_type,nsfw_level,created_at
1,а какая разница какой у человека пол? это же не мешает в общении,telegram_chat,natural,1,telegram_chat_corpus,0,
2,"никак, у меня есть план достижения желаемого и я буду ему следовать",telegram_chat,natural,1,telegram_chat_corpus,0,
3,"ну хз, он у нас как городской телефон уже, давно у подъезда нету",telegram_chat,natural,1,telegram_chat_corpus,0,
4,марк и максимилиан великий. больше никакие,telegram_chat,natural,1,telegram_chat_corpus,0,
5,а ты че там присутствуешь при всех сменах следователей?,telegram_chat,natural,1,telegram_chat_corpus,0,
6,не в таких количествах,telegram_chat,natural,1,telegram_chat_corpus,0,
7,"какие отличительные черты шаманизма русского севера, какая система мировоззрения лежит в его основе?",telegram_chat,natural,1,telegram_chat_corpus,0,
8,а что такое мало,telegram_chat,natural,1,telegram_chat_corpus,0,
9,парень прислал в сообщении песню что можно ему ответить,telegram_chat,natural,1,telegram_chat_corpus,0,
10,тоже бредовая теория,telegram_chat,natural,1,telegram_chat_corpus,0,
11,может. но очень редко это заканчивается свадьбой,telegram_chat,natural,1,telegram_chat_corpus,0,
12,нет. сколько платишь?,telegram_chat,natural,1,telegram_chat_corpus,0,
13,есть. и воду фильтрую. и базар,telegram_chat,natural,1,telegram_chat_corpus,0,
14,"если жена не подарок, то значит она от бога?",telegram_chat,natural,1,telegram_chat_corpus,0,
15,"безусловно. не поддерживать их может только безразличный человек, либо кретин",telegram_chat,natural,1,telegram_chat_corpus,0,
16,"о, тевирп",telegram_chat,natural,1,telegram_chat_corpus,0,
17,"а правда, что самим за свое счастье бороться надо?",telegram_chat,natural,1,telegram_chat_corpus,0,
18,что вы любите больше всего на свете?,telegram_chat,natural,1,telegram_chat_corpus,0,
19,или ты про дпо?,telegram_chat,natural,1,telegram_chat_corpus,0,
20,а почему зомбированию подвержены только западные районы украины? на восточные как-то не очень действует?,telegram_chat,natural,1,telegram_chat_corpus,0,
21,мне вот интересно продали вы бы душу дьяволу за исполнение желаний?,telegram_chat,natural,1,telegram_chat_corpus,0,
22,у вас после праздников все еще жор или вы уже на диете?,telegram_chat,natural,1,telegram_chat_corpus,0,
23,в караоке,telegram_chat,natural,1,telegram_chat_corpus,0,
24,к какому праву относится гражданское право?,telegram_chat,natural,1,telegram_chat_corpus,0,
25,украинцы подражая немцам тоже стали так делать,telegram_chat,natural,1,telegram_chat_corpus,0,
26,какого цвета боль?,telegram_chat,natural,1,telegram_chat_corpus,0,
27,вот его настоящее имя,telegram_chat,natural,1,telegram_chat_corpus,0,
28,даа я такая,telegram_chat,natural,1,telegram_chat_corpus,0,
29,"если ты знаешь путь, то скажи владеет ли он судьбами?",telegram_chat,natural,1,telegram_chat_corpus,0,
30,цыгане снятся к обману и духовному падению. удачи и мира.,telegram_chat,natural,1,telegram_chat_corpus,0,
31,а что вот вас раздражает в телевизоре?,telegram_chat,natural,1,telegram_chat_corpus,0,
32,"это скорее твое заметь, я тебя никуда кроме психолога не отправляла",telegram_chat,natural,1,telegram_chat_corpus,0,
33,я не наехал еще,telegram_chat,natural,1,telegram_chat_corpus,0,
34,чем вам бывает приятно окружение?,telegram_chat,natural,1,telegram_chat_corpus,0,
35,что значит для вас прошедшая любовь?,telegram_chat,natural,1,telegram_chat_corpus,0,
36,"люди, подскажите, чем кефир закусывают?",telegram_chat,natural,1,telegram_chat_corpus,0,
37,а вы собираетесь праздновать старый новый год?,telegram_chat,natural,1,telegram_chat_corpus,0,
38,нормированый. но иногда приходится задержаться или придти пораньше.,telegram_chat,natural,1,telegram_chat_corpus,0,
39,"кому в жизни приходится сложнее, мужчинам или женщинам? как думаете?",telegram_chat,natural,1,telegram_chat_corpus,0,
40,"предпочитаю раздавать удочки, а не рыбок",telegram_chat,natural,1,telegram_chat_corpus,0,
41,я не собираюсь ничего никому доказывать,telegram_chat,natural,1,telegram_chat_corpus,0,
42,как быстро делать уроки?,telegram_chat,natural,1,telegram_chat_corpus,0,
43,"идеального мира не может быть, обязательно будет, что то его портить.",telegram_chat,natural,1,telegram_chat_corpus,0,
44,ну можешь не мыть писю,telegram_chat,natural,1,telegram_chat_corpus,0,
45,с каким животным вы себя ассоциируете? и почему?,telegram_chat,natural,1,telegram_chat_corpus,0,
46,"могу мороженое, могу тарелку, могу член своего мужчины. много чего люблю",telegram_chat,natural,1,telegram_chat_corpus,0,
47,ты тоже умничка,telegram_chat,natural,1,telegram_chat_corpus,0,
48,когда во все мире пропадет электричество?,telegram_chat,natural,1,telegram_chat_corpus,0,
49,та та та,telegram_chat,natural,1,telegram_chat_corpus,0,
